Model,Seed,Experiment_Number,Accuracy,AUC,F1_Score
xgboost,315491657,1,0.8205128205128205,0.9125,0.78125
xgboost,135304577,2,0.7582417582417582,0.8290909090909091,0.6071428571428571
xgboost,1572185508,3,0.7888888888888889,0.8712522045855379,0.5581395348837209
xgboost,1029933563,4,0.7241379310344828,0.7962962962962963,0.6129032258064516
xgboost,1950160822,5,0.8,0.8148148148148148,0.5161290322580645
xgboost,563269619,6,0.5945945945945946,0.7172413793103448,0.53125
xgboost,1573902777,7,0.8333333333333334,0.8909438775510204,0.7666666666666667
xgboost,513873336,8,0.7792207792207793,0.7423076923076923,0.6666666666666666
xgboost,442822283,9,0.8117647058823529,0.8220443349753694,0.7142857142857143
xgboost,1770168448,10,0.7758620689655172,0.8146718146718146,0.7547169811320755
