Model,Seed,Experiment_Number,Accuracy,AUC,F1_Score
xgboost,315491657,1,0.9666666666666668,0.9666666666666668,0.9655172413793104
xgboost,135304577,2,0.7666666666666667,0.7666666666666667,0.72
xgboost,1572185508,3,0.7,0.7000000000000001,0.6086956521739131
xgboost,1029933563,4,0.7,0.7000000000000001,0.6086956521739131
xgboost,1950160822,5,0.7333333333333333,0.7333333333333333,0.6666666666666666
xgboost,563269619,6,0.5666666666666667,0.5666666666666667,0.5517241379310345
xgboost,1573902777,7,0.8333333333333334,0.8333333333333334,0.8387096774193549
xgboost,513873336,8,0.5666666666666667,0.5666666666666667,0.48
xgboost,442822283,9,0.7,0.7000000000000001,0.6086956521739131
xgboost,1770168448,10,0.8,0.8,0.8235294117647058
xgboost,2042199113,11,0.7666666666666667,0.7666666666666666,0.7407407407407407
xgboost,441301073,12,0.7333333333333333,0.7333333333333333,0.6666666666666666
xgboost,236793113,13,0.7,0.7000000000000002,0.6666666666666666
xgboost,387615796,14,0.5333333333333333,0.5333333333333333,0.5333333333333333
xgboost,1899788307,15,0.7,0.7,0.64
xgboost,788877054,16,0.7666666666666667,0.7666666666666666,0.7407407407407407
xgboost,681076636,17,0.7333333333333333,0.7333333333333334,0.7333333333333333
xgboost,504404028,18,0.7,0.7000000000000002,0.6666666666666666
xgboost,1620098870,19,0.7666666666666667,0.7666666666666667,0.7586206896551724
xgboost,847071637,20,0.8666666666666667,0.8666666666666667,0.8571428571428571
xgboost,1967649092,21,0.7333333333333333,0.7333333333333333,0.6666666666666666
xgboost,1010220053,22,0.7333333333333333,0.7333333333333334,0.7333333333333333
xgboost,644534191,23,0.5333333333333333,0.5333333333333333,0.4166666666666667
xgboost,844067037,24,0.7333333333333333,0.7333333333333334,0.6923076923076923
xgboost,59236795,25,0.5333333333333333,0.5333333333333333,0.4166666666666667
xgboost,1814102137,26,0.7,0.7000000000000001,0.6896551724137931
xgboost,787036043,27,0.7333333333333333,0.7333333333333333,0.6666666666666666
xgboost,1853222053,28,0.7333333333333333,0.7333333333333334,0.75
xgboost,745124550,29,0.7,0.7,0.64
xgboost,2136397237,30,0.7666666666666667,0.7666666666666667,0.7741935483870968
